time_sec,x,y,z,yaw
645.963,3.553977035319201,-4.65378632102142,0.0,-1.1659001045844462
645.984,3.553977035319202,-4.653786321021422,0.0,-1.1630816835338165
646.005,3.553977035319201,-4.65378632102142,0.0,-1.1602632624831801
646.026,3.553977035319201,-4.65378632102142,0.0,-1.157444841432554
646.047,3.553977035319202,-4.653786321021422,0.0,-1.1546264203819243
646.068,3.553977035319201,-4.65378632102142,0.0,-1.1518079993312882
646.089,3.553977035319201,-4.65378632102142,0.0,-1.1489895782806618
646.11,3.553977035319202,-4.653786321021422,0.0,-1.1461711572300322
646.131,3.553977035319202,-4.653786321021422,0.0,-1.143352736179406
646.152,3.553977035319201,-4.65378632102142,0.0,-1.1405343151287697
646.173,3.553977035319202,-4.653786321021422,0.0,-1.13771589407814
646.194,3.553977035319202,-4.653786321021422,0.0,-1.1348974730275136
646.215,3.553977035319201,-4.65378632102142,0.0,-1.1320790519768775
646.236,3.553977035319202,-4.653786321021422,0.0,-1.1292606309262478
646.257,3.553977035319202,-4.653786321021422,0.0,-1.1264422098756215
646.278,3.553977035319201,-4.65378632102142,0.0,-1.1236237888249851
646.299,3.553977035319202,-4.653786321021422,0.0,-1.1208053677743557
646.32,3.553977035319202,-4.653786321021422,0.0,-1.1179869467237296
646.341,3.553977035319201,-4.65378632102142,0.0,-1.115168525673093
646.362,3.553977035319202,-4.653786321021422,0.0,-1.1123501046224638
646.383,3.553977035319202,-4.653786321021422,0.0,-1.1095316835718374
646.404,3.553977035319218,-4.653786321021454,0.0,-1.1071542625209279
646.425,3.553977035319229,-4.653786321021476,0.0,-1.1048608414701964
646.446,3.553977035319254,-4.653786321021525,0.0,-1.1030084204192603
646.467,3.553977035319289,-4.653786321021595,0.0,-1.1015969993682833
646.488,3.553977035319308,-4.6537863210216335,0.0,-1.1003535783174858
646.509,3.553977035319332,-4.6537863210216805,0.0,-1.0994141046350199
646.53,3.553977035319333,-4.653786321021682,0.0,-1.0984746309527764
646.551,3.553977035319333,-4.653786321021682,0.0,-1.0975351572705363
646.572,3.553977035319333,-4.653786321021682,0.0,-1.0965956835882962
646.593,3.553977035319333,-4.653786321021682,0.0,-1.0956562099060563
646.614,3.553977035319333,-4.653786321021682,0.0,-1.094716736223816
646.635,3.5539770353193347,-4.653786321021686,0.0,-1.0937772625415825
646.656,3.553977035319334,-4.653786321021684,0.0,-1.092837788859346
646.677,3.553977035319334,-4.653786321021684,0.0,-1.0918983151771058
646.698,3.553977035319334,-4.653786321021684,0.0,-1.0909588414948654
646.719,3.553977035319334,-4.653786321021684,0.0,-1.0900193678126253
646.74,3.553977035319334,-4.653786321021684,0.0,-1.089079894130385
646.761,3.553977035319333,-4.653786321021682,0.0,-1.0881404204481486
646.782,3.553977035319333,-4.653786321021682,0.0,-1.0872009467659085
646.803,3.553977035319333,-4.653786321021682,0.0,-1.0862614730836682
646.824,3.553977035319333,-4.653786321021682,0.0,-1.0853219994014278
646.845,3.5539770353193347,-4.653786321021686,0.0,-1.0843825257191946
646.866,3.553977035319334,-4.653786321021684,0.0,-1.0834430520369578
646.887,3.553977035319334,-4.653786321021684,0.0,-1.0825035783547177
646.908,3.553977035319334,-4.653786321021684,0.0,-1.0815641046724775
646.929,3.553977035319334,-4.653786321021684,0.0,-1.0806246309902374
646.95,3.553977035319334,-4.653786321021684,0.0,-1.0796851573079973
646.971,3.553977035319333,-4.653786321021682,0.0,-1.0787456836257607
646.992,3.553977035319333,-4.653786321021682,0.0,-1.0778062099435204
647.013,3.553977035319333,-4.653786321021682,0.0,-1.0768667362612803
647.034,3.553977035319333,-4.653786321021682,0.0,-1.0759272625790401
647.055,3.553977035319333,-4.653786321021682,0.0,-1.0749877888968
647.076,3.553977035319334,-4.653786321021684,0.0,-1.0740483152145701
647.097,3.553977035319334,-4.653786321021684,0.0,-1.07310884153233
647.118,3.553977035319334,-4.653786321021684,0.0,-1.0721693678500896
647.139,3.553977035319334,-4.653786321021684,0.0,-1.0712298941678497
647.16,3.553977035319334,-4.653786321021684,0.0,-1.0702904204856096
647.181,3.553977035319333,-4.653786321021682,0.0,-1.069350946803373
647.202,3.553977035319333,-4.653786321021682,0.0,-1.0684114731211327
647.223,3.553977035319333,-4.653786321021682,0.0,-1.0674719994388926
647.244,3.553977035319333,-4.653786321021682,0.0,-1.0665325257566527
647.265,3.553977035319333,-4.653786321021682,0.0,-1.0655930520744124
647.286,3.553977035319334,-4.653786321021684,0.0,-1.0646535783921822
647.307,3.553977035319334,-4.653786321021684,0.0,-1.0637141047099425
647.328,3.553977035319334,-4.653786321021684,0.0,-1.0627746310277022
647.349,3.553977035319334,-4.653786321021684,0.0,-1.061835157345462
647.37,3.553977035319334,-4.653786321021684,0.0,-1.060895683663222
647.391,3.553977035319334,-4.653786321021684,0.0,-1.0599562099809818
647.412,3.553977035319333,-4.653786321021682,0.0,-1.059016736298745
647.433,3.553977035319333,-4.653786321021682,0.0,-1.058077262616505
647.454,3.553977035319333,-4.653786321021682,0.0,-1.0571377889342648
647.475,3.553977035319333,-4.653786321021682,0.0,-1.0561983152520247
647.496,3.5539770353193347,-4.653786321021685,0.0,-1.055258841569791
647.517,3.553977035319334,-4.653786321021683,0.0,-1.0543193678875542
647.538,3.553977035319334,-4.653786321021683,0.0,-1.053379894205314
647.559,3.553977035319334,-4.653786321021683,0.0,-1.0524404205230742
647.58,3.553977035319334,-4.653786321021683,0.0,-1.051500946840834
647.601,3.553977035319334,-4.653786321021683,0.0,-1.050561473158594
647.622,3.553977035319333,-4.653786321021681,0.0,-1.0496219994763571
647.643,3.553977035319333,-4.653786321021681,0.0,-1.0486825257941172
647.664,3.553977035319333,-4.653786321021681,0.0,-1.047743052111877
647.685,3.553977035319333,-4.653786321021681,0.0,-1.0468035784296368
647.706,3.553977035319333,-4.653786321021681,0.0,-1.0458641047473967
647.727,3.553977035319334,-4.653786321021683,0.0,-1.0449246310651668
647.748,3.553977035319334,-4.653786321021683,0.0,-1.0439851573829266
647.769,3.553977035319334,-4.653786321021683,0.0,-1.0430456837006865
647.79,3.553977035319334,-4.653786321021683,0.0,-1.0421062100184464
647.811,3.553977035319334,-4.653786321021683,0.0,-1.0411667363362063
647.832,3.553977035319333,-4.653786321021681,0.0,-1.0402272626539695
647.853,3.553977035319333,-4.653786321021681,0.0,-1.0392877889717294
647.874,3.553977035319333,-4.653786321021681,0.0,-1.0383483152894892
647.895,3.553977035319333,-4.653786321021681,0.0,-1.037408841607249
647.916,3.553977035319333,-4.653786321021681,0.0,-1.036469367925009
647.937,3.553977035319334,-4.653786321021683,0.0,-1.035529894242779
647.958,3.553977035319334,-4.653786321021683,0.0,-1.034590420560539
647.979,3.553977035319334,-4.653786321021683,0.0,-1.0336509468782988
648.0,3.553977035319334,-4.653786321021683,0.0,-1.0327114731960587
648.021,3.553977035319334,-4.653786321021683,0.0,-1.0317719995138186
648.042,3.553977035319333,-4.653786321021681,0.0,-1.0308325258315818
648.063,3.553977035319333,-4.653786321021681,0.0,-1.0298930521493417
648.084,3.553977035319333,-4.653786321021681,0.0,-1.0289535784671016
648.105,3.553977035319333,-4.653786321021681,0.0,-1.0280141047848614
648.126,3.553977035319333,-4.653786321021681,0.0,-1.0270746311026213
648.147,3.5539770353193347,-4.653786321021684,0.0,-1.0261351574203879
648.168,3.553977035319334,-4.653786321021682,0.0,-1.025195683738151
648.189,3.553977035319334,-4.653786321021682,0.0,-1.024256210055911
648.21,3.553977035319334,-4.653786321021682,0.0,-1.0233167363736708
648.231,3.553977035319334,-4.653786321021682,0.0,-1.0223772626914307
648.252,3.553977035319334,-4.653786321021682,0.0,-1.0214377890091906
648.273,3.553977035319333,-4.6537863210216805,0.0,-1.0204983153269538
648.294,3.553977035319333,-4.6537863210216805,0.0,-1.0195588416447134
648.315,3.553977035319333,-4.6537863210216805,0.0,-1.0186193679624735
648.336,3.553977035319333,-4.6537863210216805,0.0,-1.0176798942802334
648.357,3.5539770353193347,-4.653786321021683,0.0,-1.016740420598
648.378,3.553977035319334,-4.653786321021681,0.0,-1.0158009469157632
648.399,3.553977035319334,-4.653786321021681,0.0,-1.0148614732335228
648.42,3.553977035319334,-4.653786321021681,0.0,-1.013921999551283
648.441,3.553977035319334,-4.653786321021681,0.0,-1.0129825258690428
648.462,3.553977035319334,-4.653786321021681,0.0,-1.0120430521868027
648.483,3.553977035319333,-4.65378632102168,0.0,-1.011103578504566
648.504,3.553977035319333,-4.65378632102168,0.0,-1.0101641048223258
648.525,3.553977035319333,-4.65378632102168,0.0,-1.0092246311400856
648.546,3.553977035319333,-4.65378632102168,0.0,-1.0082851574578455
648.567,3.553977035319333,-4.65378632102168,0.0,-1.0073456837756054
648.588,3.553977035319334,-4.653786321021681,0.0,-1.0064062100933755
648.609,3.553977035319334,-4.653786321021681,0.0,-1.0054667364111354
648.63,3.553977035319334,-4.653786321021681,0.0,-1.0045272627288953
648.651,3.553977035319334,-4.653786321021681,0.0,-1.0035877890466551
648.672,3.553977035319334,-4.653786321021681,0.0,-1.002648315364415
648.693,3.553977035319333,-4.65378632102168,0.0,-1.0017088416821782
648.714,3.553977035319333,-4.65378632102168,0.0,-1.000769367999938
648.735,3.553977035319333,-4.65378632102168,0.0,-0.999829894317698
648.756,3.553977035319333,-4.65378632102168,0.0,-0.9988904206354575
648.777,3.553977035319333,-4.65378632102168,0.0,-0.9979509469532174
648.798,3.5539770353193023,-4.653786321021632,0.0,-0.9965704732713425
648.819,3.5539770353192908,-4.653786321021614,0.0,-0.9951059995891871
648.84,3.553977035319262,-4.6537863210215695,0.0,-0.9932005259072672
648.861,3.5539770353192326,-4.653786321021525,0.0,-0.9908540522253437
648.882,3.55397703531921,-4.653786321021491,0.0,-0.9883395785432443
648.903,3.5539770353191846,-4.653786321021453,0.0,-0.9853841048612887
648.924,3.553977035319157,-4.653786321021411,0.0,-0.98198763117935
648.945,3.5539770353191322,-4.653786321021374,0.0,-0.9784231574972763
648.966,3.5539770353191082,-4.653786321021339,0.0,-0.974417683815346
648.987,3.5539770353190794,-4.653786321021296,0.0,-0.9699712101334295
649.008,3.5539770353190523,-4.653786321021257,0.0,-0.9653567364514088
649.029,3.553977035319027,-4.6537863210212205,0.0,-0.960301262769528
649.05,3.5539770353190043,-4.6537863210211885,0.0,-0.9551617890875201
649.071,3.5539770353189777,-4.653786321021151,0.0,-0.9495813154056862
649.092,3.553977035318949,-4.653786321021111,0.0,-0.943559841723897
649.113,3.5539770353189186,-4.6537863210210695,0.0,-0.9373703680420545
649.134,3.553977035318888,-4.653786321021028,0.0,-0.9307398943603454
649.155,3.553977035318855,-4.653786321020983,0.0,-0.9236684206787218
649.176,3.5539770353188174,-4.653786321020934,0.0,-0.9161559469971632
